id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
0,1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160,1,2,1,2022,25.25157605,92.48405007,0.020353819,34.5,291.5333334,Diarrheal Diseases
1,2nd week,Maharashtra,Gadchiroli,Malaria,7,2,10,1,2022,19.75907035,80.16228073,0.007479299,9.0,299.97,Malaria
2,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,1,18,1,2022,10.3826515,78.8191259,0.107412975,12.0,300.7666666,Diarrheal Diseases
3,3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7,1,11,1,2022,23.77405735,71.68373466,0.065094494,9.0,299.08,Diarrheal Diseases
4,3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14,0,24,12,2021,9.98408,76.2741457,0.041256081,33.0,303.028,Diarrheal Diseases
5,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,1,18,1,2022,10.3826515,78.8191259,0.107412975,12.0,300.7666666,Diarrheal Diseases
6,5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1,1,24,1,2022,25.8435395,80.91800397,0.099030119,9.0,290.18,Encephalitis
7,6th week,Maharashtra,Gadchiroli,Malaria,1,1,9,2,2022,19.75907035,80.16228073,8.36e-05,9.0,300.0633334,Malaria
8,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15,1,11,2,2022,18.7232023,82.60811828,0.00049058,12.0,300.5566666,Diarrheal Diseases
9,7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67,0,17,2,2022,23.0216238,72.5797068,7.25e-05,9.5,302.5533334,Diarrheal Diseases
10,7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89,0,17,2,2022,23.41146995,87.84499445,0.003711026,9.0,296.68,Diarrheal Diseases
11,7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5,0,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,Diarrheal Diseases
12,8th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,1,23,2,2022,22.5760669,88.42006758,0.133323552,10.0,299.22,Diarrheal Diseases
13,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,0,24,2,2022,9.98408,76.2741457,0.051275566,40.0,302.8933334,Diarrheal Diseases
14,9th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,1,23,2,2022,22.5760669,88.42006758,0.133323552,10.0,299.22,Diarrheal Diseases
15,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,1,5,3,2022,22.642931,88.8930579,0.012725571,17.5,299.72,Diarrheal Diseases
16,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,0,24,2,2022,9.98408,76.2741457,0.051275566,40.0,302.8933334,Diarrheal Diseases
17,9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27,1,3,3,2022,13.3400771,77.1006208,6.49e-05,7.0,308.4633334,Diarrheal Diseases
18,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,0,23,2,2022,22.5760669,88.42006758,0.133323552,10.0,299.22,Diarrheal Diseases
19,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,1,5,3,2022,22.642931,88.8930579,0.012725571,17.5,299.72,Diarrheal Diseases
20,10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57,0,8,3,2022,20.952407,72.9323831,0.000137449,4.0,307.9233334,Diarrheal Diseases
21,10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14,1,6,3,2022,23.2232877,72.6492267,7.1e-05,6.0,307.38,Diarrheal Diseases
22,10th week,Gujarat,Anand,Acute Gastroenteritis,24,0,5,3,2022,22.5584995,72.9625629,5.63e-05,9.0,307.34,Diarrheal Diseases
23,10th week,Telangana,Nalgonda,Dengue,6,1,11,3,2022,16.8579636,79.21749353,0.000133547,8.0,309.556,Dengue
24,10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556,1,5,3,2022,22.642931,88.8930579,0.012725571,17.5,299.72,Diarrheal Diseases
25,10th week,Kerala,Trivandrum,Dengue,9,0,22,2,2022,8.4882267,76.947551,0.093703532,46.0,301.496,Dengue
26,10th week,Tamil Nadu,Ariyalur,Dengue,6,0,5,2,2022,11.07603595,79.11745538,0.012508729,10.0,303.384,Dengue
27,10th week,Tamil Nadu,Ariyalur,pyrexia of unknown origin,15,0,31,1,2022,11.07603595,79.11745538,0.083089587,10.0,300.355,Fever of Unknown Origin
28,10th week,Tamil Nadu,Virudhunagar,Dengue,17,0,16,2,2022,9.5208936,77.8784564,0.307975438,7.0,306.0,Dengue
29,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25,0,17,3,2022,14.7874825,75.3996731,0.001275128,20.0,307.064,Diarrheal Diseases
30,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36,0,18,3,2022,14.7874825,75.3996731,0.001077243,20.0,307.02,Diarrheal Diseases
31,11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16,0,11,3,2022,9.98408,76.2741457,0.04311431,38.0,303.712,Diarrheal Diseases
32,11th week,Maharashtra,Akola,Chikungunya,9,1,12,3,2022,20.76181225,77.19211567,0.011401509,5.0,311.4666666,Chikungunya
33,11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41,1,22,3,2022,18.7232023,82.60811828,0.000485165,11.0,307.552,Diarrheal Diseases
34,12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19,0,27,3,2022,20.952407,72.9323831,8.8e-05,4.0,309.62,Diarrheal Diseases
35,12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19,1,23,3,2022,22.75,72.833333,8.42e-05,6.0,311.6233334,Diarrheal Diseases
36,12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29,1,23,3,2022,12.8827367,75.0309089,0.154846349,23.0,303.66,Diarrheal Diseases
37,12th week,Maharashtra,Raigad,Dengue,11,0,21,3,2022,18.4928092,73.13807095,0.000180034,8.0,312.184,Dengue
38,12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14,0,24,3,2022,11.07603595,79.11745538,0.00316601,8.0,308.436,Diarrheal Diseases
39,12th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,35,1,26,3,2022,22.5760669,88.42006758,0.01326398,13.0,304.952,Diarrheal Diseases
40,13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,0,21,3,2022,9.98408,76.2741457,0.28021619,34.0,302.56,Diarrheal Diseases
41,13th week,Kerala,Thrissur,Acute Diarrhoeal Disease,7,1,30,3,2022,10.5256264,76.2132542,0.629658683,9.0,302.385,Diarrheal Diseases
42,13th week,Kerala,thiruvananthapuram,Dengue,8,1,16,3,2022,8.4882267,76.947551,0.076192424,38.0,305.112,Dengue
43,13th week,Karnataka,Davanagere,Acute Diarrhoeal Disease,21,0,29,3,2022,14.4661266,75.9206361,0.015233737,9.0,307.625,Diarrheal Diseases
44,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,9,1,4,3,2022,18.7232023,82.60811828,5.11e-05,11.0,306.932,Diarrheal Diseases
45,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,83,0,5,3,2022,19.4129711,85.04710406,0.225489454,13.0,304.2933334,Diarrheal Diseases
46,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,69,0,3,4,2022,19.4129711,85.04710406,0.225489454,11.0,303.648,Diarrheal Diseases
47,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,8,1,28,3,2022,18.7232023,82.60811828,0.000614995,11.0,308.1933334,Diarrheal Diseases
48,13th week,Tamil Nadu,Pudukkottai,Dengue,15,0,30,3,2022,10.5,78.833333,0.067214393,9.0,306.37,Dengue
49,14th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,12,1,2,4,2022,12.9324457,74.9813132,0.151688393,19.0,303.228,Diarrheal Diseases
50,14th week,Telangana,Hyderabad,Acute Diarrhoeal Disease,95,0,8,4,2022,17.360589,78.4740613,0.000879936,6.0,312.864,Diarrheal Diseases
51,14th week,West Bengal,Hooghly,Cholera,50,0,6,4,2022,22.9052114,88.3760639,0.016061035,13.0,301.768,Diarrheal Diseases
52,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,32,0,11,4,2022,19.4129711,85.04710406,0.225489454,12.0,303.004,Diarrheal Diseases
53,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,39,0,8,4,2022,19.4129711,85.04710406,0.225489454,12.0,302.56,Diarrheal Diseases
54,15th week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,14,1,17,4,2022,11.7406259,78.9637131,0.351280164,10.0,312.57,Diarrheal Diseases
55,15th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,105,1,12,4,2022,22.3599134,87.41331448,0.00157665,17.0,303.61,Diarrheal Diseases
56,15th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,132,1,17,4,2022,22.642931,88.8930579,0.124579567,16.0,302.7066666,Diarrheal Diseases
57,15th week,Kerala,Palakkad,Dengue,18,2,26,3,2022,10.78789845,76.47408711,0.207999916,23.0,305.46,Dengue
58,16th week,Haryana,Panipat,Acute Diarrhoeal Disease,6,4,23,4,2022,29.3912753,76.9771675,0.007797901,9.0,309.8166666,Diarrheal Diseases
59,16th week,Kerala,Kollam,Acute Diarrhoeal Disease,61,2,24,4,2022,8.8879509,76.5955013,0.340955576,13.0,302.42,Diarrheal Diseases
60,16th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,6,0,19,4,2022,8.4882267,76.947551,0.765673624,40.0,302.245,Diarrheal Diseases
61,16th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,11,0,18,4,2022,20.13069385,84.07904761,0.01136203,10.0,310.692,Diarrheal Diseases
62,16th week,Odisha,Ganjam,Cholera,23,0,21,4,2022,19.4129711,85.04710406,0.225489454,11.0,304.5533334,Diarrheal Diseases
63,16th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,71,0,19,4,2022,22.5760669,88.42006758,0.00193066,10.0,304.9333334,Diarrheal Diseases
64,16th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,91,0,18,4,2022,23.41146995,87.84499445,0.106528719,11.0,306.0133334,Diarrheal Diseases
65,16th week,West Bengal,Howrah,Cholera,53,0,17,4,2022,22.5736296,88.3251045,0.002075952,10.0,305.268,Diarrheal Diseases
66,17th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,0,24,4,2022,13.0070817,76.0992703,0.098806027,10.0,303.87,Diarrheal Diseases
67,17th week,Kerala,Kollam,Acute Diarrhoeal Disease,63,2,29,4,2022,8.8879509,76.5955013,0.300202184,13.0,301.72,Diarrheal Diseases
68,17th week,Odisha,Ganjam,Acute Diarrhoeal Disease,29,0,26,4,2022,19.4129711,85.04710406,0.225489454,11.0,306.316,Diarrheal Diseases
69,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17,0,28,4,2022,11.07603595,79.11745538,0.030806768,8.0,310.16,Diarrheal Diseases
70,17th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,40,0,25,4,2022,22.9052114,88.3760639,0.042264176,12.0,302.65,Diarrheal Diseases
71,17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,21,0,2,1,2022,20.952407,72.9323831,0.004996546,5.0,298.955,Diarrheal Diseases
72,17th week,Kerala,Ernakulam,Dengue,16,0,28,3,2022,9.98408,76.2741457,0.297670268,30.0,303.396,Dengue
73,18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,30,0,28,4,2022,16.21399145,81.02572814,0.001602219,7.0,308.756,Diarrheal Diseases
74,18th week,Gujarat,Sabarkantha,Dengue,4,3,26,4,2022,24.0294885,73.0459884,0.000451824,7.0,318.4766666,Dengue
75,18th week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,10,1,4,5,2022,8.4882267,76.947551,0.277466418,45.0,301.6866666,Diarrheal Diseases
76,18th week,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,254,2,7,5,2022,24.2651306,75.38718194,0.011397078,3.0,317.3666666,Diarrheal Diseases
77,18th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,113,1,25,4,2022,30.7041168,76.7176885,0.009009361,6.0,309.4233334,Diarrheal Diseases
78,18th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,0,7,5,2022,12.7948109,79.0006411,0.112962571,10.0,306.572,Diarrheal Diseases
79,18th week,Jharkhand,East Singhbhum,Malaria,37,1,21,4,2022,22.8092139,86.2091549,0.041429957,7.0,311.8366666,Malaria
80,18th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,11,0,25,4,2022,31.38524095,75.30552274,0.018939754,5.0,310.792,Diarrheal Diseases
81,18th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,0,26,4,2022,13.0070817,76.0992703,0.004949535,10.0,303.745,Diarrheal Diseases
82,18th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,85,1,7,5,2022,13.9326093,75.574978,0.015284959,16.0,302.1966666,Diarrheal Diseases
83,19th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,33,1,13,5,2022,20.52684285,82.187831,0.19697958,11.0,307.805,Diarrheal Diseases
84,19th week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,57,1,7,5,2022,21.9671264,82.66472425,0.003964035,9.0,311.408,Diarrheal Diseases
85,19th week,Gujarat,Navsari,Acute Diarrhoeal Disease,47,0,15,5,2022,20.952407,72.9323831,8.75e-05,3.0,307.5633334,Diarrheal Diseases
86,19th week,Karnataka,Kalaburagi,Cholera,144,1,7,5,2022,17.166667,77.083333,0.006687554,3.0,318.132,Diarrheal Diseases
87,19th week,Karnataka,Tumkur,Acute Diarrhoeal Disease,13,1,13,5,2022,13.3400771,77.1006208,0.44945788,9.0,303.58,Diarrheal Diseases
88,19th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,65,0,9,5,2022,9.98408,76.2741457,0.579496687,19.5,300.8066666,Diarrheal Diseases
89,19th week,Kerala,Kozhikode,Acute Diarrhoeal Disease,100,0,8,5,2022,11.2450558,75.7754716,0.595196898,9.0,303.3241667,Diarrheal Diseases
90,19th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,15,0,13,5,2022,26.166667,77.5,0.000211447,3.0,316.4866666,Diarrheal Diseases
91,19th week,Maharashtra,Jalgaon,Dengue,9,1,6,5,2022,20.84288265,75.52612464,0.000181007,4.0,319.8166666,Dengue
92,19th week,Odisha,Ganjam,Acute Diarrhoeal Disease,22,0,10,5,2022,19.4129711,85.04710406,0.225489454,11.0,302.8666666,Diarrheal Diseases
93,19th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,18,1,11,5,2022,30.7041168,76.7176885,0.033614744,7.0,307.8933334,Diarrheal Diseases
94,19th week,Rajasthan,Bikaner,Acute Diarrhoeal Disease,27,1,12,5,2022,28.0159286,73.3171367,8.15e-05,2.0,321.53,Diarrheal Diseases
95,19th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,0,6,5,2022,12.7948109,79.0006411,0.108199163,10.0,308.484,Diarrheal Diseases
96,19th week,West Bengal,Jalpaiguri,Dengue,272,1,8,5,2022,26.4733048,88.67886686,0.216141642,22.5,304.6,Dengue
97,19th week,Maharashtra,Sindhudurg,Malaria (PV),5,1,4,5,2022,16.1357193,73.6522086,0.011602965,19.0,305.6833334,Malaria
98,19th week,Karnataka,Hassan,Acute Diarrhoeal Disease,20,0,9,5,2022,13.0070817,76.0992703,0.154825336,9.0,302.324,Diarrheal Diseases
99,20th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,29,0,15,5,2022,15.6589741,79.47164373,0.964983839,6.0,308.2466666,Diarrheal Diseases
100,20th week,Assam,Udalguri,Acute Diarrhoeal Disease,14,2,17,5,2022,26.77253155,92.10641749,2.407587488,17.0,300.92,Diarrheal Diseases
101,20th week,Kerala,Alappuzha,Dengue,7,1,17,5,2022,9.5006651,76.41241429,1.823726827,17.0,300.1975,Dengue
102,20th week,Kerala,Thiruvananthapuram,Dengue,7,1,13,5,2022,8.4882267,76.947551,0.324766176,12.0,302.87,Dengue
103,20th week,Kerala,Wayanad,Acute Diarrhoeal Disease,22,1,13,5,2022,11.715219,76.12690295,0.621783565,6.0,301.55,Diarrheal Diseases
104,20th week,Karnataka,Ballari,Acute Diarrhoeal Disease,22,0,17,5,2022,15.2485413,76.8323648,0.231005367,4.0,312.53,Diarrheal Diseases
105,20th week,Maharashtra,Pune,Dengue,21,1,16,5,2022,18.521428,73.8544541,0.008698042,6.0,309.265,Dengue
106,20th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,12,2,18,5,2022,25.1010477,82.62574936,0.000417409,4.0,313.0,Diarrheal Diseases
107,20th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,13,1,11,5,2022,13.3400771,77.1006208,0.153914666,9.0,304.56,Diarrheal Diseases
108,20th week,Maharashtra,Pune,Dengue,12,1,23,4,2022,18.521428,73.8544541,0.01502899,5.0,314.96,Dengue
109,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,110,1,12,5,2022,25.4425965,92.29882747,1.120595492,17.0,302.0133334,Diarrheal Diseases
110,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,60,1,1,5,2022,25.4425965,92.29882747,0.720570193,17.0,300.456,Diarrheal Diseases
111,21st week,Arunachal Pradesh,West Kameng,Acute Diarrhoeal Disease,37,1,27,5,2022,27.4,92.35,1.087377988,18.0,291.86,Diarrheal Diseases
112,21st week,Kerala,Kozhikode,Acute Diarrhoeal Disease,42,0,24,5,2022,11.2450558,75.7754716,2.568560169,9.0,303.3241667,Diarrheal Diseases
113,21st week,Kerala,Palakkad,Acute Diarrhoeal Disease,29,2,23,5,2022,10.78789845,76.47408711,1.851591895,10.0,296.47,Diarrheal Diseases
114,21st week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,113,1,22,5,2022,23.4805919,74.91931943,2.79e-05,3.0,317.87,Diarrheal Diseases
115,21st week,Maharashtra,Chandrapur,Malaria,13,1,25,5,2022,20.0967555,79.50454752,0.006072435,6.0,314.545,Malaria
116,21st week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,37,1,23,5,2022,20.75,85.5,0.006900563,16.0,305.02,Diarrheal Diseases
117,21st week,Puducherry,Karaikal,Acute Diarrhoeal Disease,113,1,26,5,2022,10.91571,79.8375761,0.037657789,11.0,306.88,Diarrheal Diseases
118,21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21,1,21,5,2022,25.3560294,82.50057725,0.035829539,4.0,311.224,Diarrheal Diseases
119,21st week,Karnataka,Udupi,Dengue,92,0,17,5,2022,13.3419169,74.7473232,0.833167973,18.0,302.55,Dengue
120,21st week,Kerala,Palakkad,Dengue,18,2,3,5,2022,10.78789845,76.47408711,0.750761822,11.0,302.5066666,Dengue
121,21st week,Punjab,Patiala,Acute Diarrhoeal Disease,218,2,11,4,2022,30.2090874,76.33987209,0.000438239,5.0,311.5233334,Diarrheal Diseases
122,22nd week,Assam,Baksa,Acute Diarrhoeal Disease,15,3,31,5,2022,26.62758805,91.46190527,0.134141354,29.0,301.835,Diarrheal Diseases
123,22nd week,Gujarat,Chhota Udepur,Acute Diarrhoeal Disease,203,1,29,6,2022,22.3148736,74.0141067,0.297631983,5.0,309.9733334,Diarrheal Diseases
124,22nd week,Haryana,Gurugram,Acute Diarrhoeal Disease,6,1,30,5,2022,28.4646148,77.0299194,0.066657082,5.0,303.9933334,Diarrheal Diseases
125,22nd week,Karnataka,Kalaburagi,Acute Diarrhoeal Disease,16,1,1,6,2022,17.166667,77.083333,0.009536169,2.0,315.56,Diarrheal Diseases
126,22nd week,Karnataka,Mysuru,Acute Diarrhoeal Disease,41,1,30,5,2022,12.3051828,76.6553609,0.144834229,12.0,301.868,Diarrheal Diseases
127,22nd week,Karnataka,Raichur,Acute Diarrhoeal Disease,321,3,29,5,2022,16.083333,77.166667,0.001634859,4.0,310.876,Diarrheal Diseases
128,22nd week,Karnataka,Vijayapura,Chikungunya,13,1,1,6,2022,16.666667,75.916667,0.008072189,4.0,312.472,Chikungunya
129,22nd week,Kerala,Alappuzha,Acute Diarrhoeal Disease,9,1,27,5,2022,9.5006651,76.41241429,0.831819129,24.0,299.235,Diarrheal Diseases
130,22nd week,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,48,0,17,3,2022,26.2037247,78.1573628,0.00012832,8.0,307.3266666,Diarrheal Diseases
131,22nd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,4,0,31,5,2022,26.166667,77.5,0.005249183,3.0,311.6,Diarrheal Diseases
132,22nd week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,136,2,31,5,2022,22.9467047,79.1980228,0.028293647,9.0,308.0733334,Diarrheal Diseases
133,22nd week,Madhya Pradesh,Sheopur,Acute Diarrhoeal Disease,56,2,4,6,2022,25.6656611,76.6954843,2.4e-05,4.0,313.59,Diarrheal Diseases
134,22nd week,Maharashtra,Gadchiroli,Malaria,310,1,29,5,2022,19.75907035,80.16228073,0.008761994,10.0,311.0866666,Malaria
135,22nd week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,41,1,1,6,2022,21.1498134,79.0820556,0.036554435,3.0,313.4933334,Diarrheal Diseases
136,22nd week,Maharashtra,Pune,Acute Diarrhoeal Disease,97,1,20,5,2022,18.521428,73.8544541,0.009360111,6.0,310.9133334,Diarrheal Diseases
137,22nd week,Maharashtra,Satara,Chikungunya,5,1,31,5,2022,17.63612885,74.29827808,0.00517904,5.0,315.364,Chikungunya
138,22nd week,Odisha,Mayurbhanj,Acute Diarrhoeal Disease,73,1,31,5,2022,21.75,86.5,0.183589476,14.0,304.444,Diarrheal Diseases
139,22nd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,24,0,3,6,2022,12.09680475,78.19304301,0.08874494,13.0,306.105,Diarrheal Diseases
140,22nd week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,40,1,30,5,2022,11.7406259,78.9637131,0.20160623,12.0,306.932,Diarrheal Diseases
141,22nd week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,9,0,3,6,2022,10.7860267,79.1381497,0.164404422,9.0,310.305,Diarrheal Diseases
142,22nd week,Uttarakhand,Udham Singh Nagar,Acute Diarrhoeal Disease,39,1,30,5,2022,29.0480988,79.43131332,0.107819766,28.0,300.28,Diarrheal Diseases
143,22nd week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,30,1,31,5,2022,27.25264095,82.86964796,0.0587104,5.0,308.695,Diarrheal Diseases
144,22nd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,21,1,16,5,2022,15.52481495,78.41517104,0.490797293,16.0,303.26,Diarrheal Diseases
145,22nd week,Arunachal Pradesh,Upper Siang,Malaria,36,1,12,5,2022,28.73120455,95.03773151,1.142611934,25.0,296.955,Malaria
146,22nd week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,33,1,23,5,2022,21.9671264,82.66472425,0.011738792,9.0,311.144,Diarrheal Diseases
147,22nd week,Jharkhand,Ranchi,Acute Diarrhoeal Disease,21,1,20,5,2022,23.3700501,85.3250387,0.065763006,8.0,308.388,Diarrheal Diseases
148,22nd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,11,1,26,5,2022,8.4882267,76.947551,0.720542919,32.0,300.48,Diarrheal Diseases
149,23rd week,Assam,Dibrugarh,Acute Diarrhoeal Disease,18,2,10,6,2022,27.4844597,94.9019447,0.862114992,11.0,294.68,Diarrheal Diseases
150,23rd week,Assam,Karbi Anglong,Acute Diarrhoeal Disease,54,2,9,6,2022,26.0,93.5,1.127105814,9.0,303.3241667,Diarrheal Diseases
151,23rd week,Assam,Sonitpur,Dengue,2,2,3,6,2022,26.76777075,92.70140886,0.593727141,9.0,301.796,Dengue
152,23rd week,Chhattisgarh,Jashpur,Acute Diarrhoeal Disease,12,1,7,6,2022,22.76678355,83.95304519,0.002634188,15.0,307.896,Diarrheal Diseases
153,23rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,25,0,6,6,2022,21.5174104,70.4642754,0.000833577,4.0,315.924,Diarrheal Diseases
154,23rd week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,4,0,6,6,2022,22.7859232,86.1716093,0.13417507,11.0,306.0533334,Diarrheal Diseases
155,23rd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,9,1,7,6,2022,8.4882267,76.947551,0.355742082,25.0,300.896,Diarrheal Diseases
156,23rd week,Madhya Pradesh,Bhopal,Acute Diarrhoeal Disease,32,1,7,6,2022,23.2584857,77.401989,4.81e-05,6.0,316.1833334,Diarrheal Diseases
157,23rd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,12,0,7,6,2022,26.166667,77.5,4.75e-05,3.0,318.4833334,Diarrheal Diseases
158,23rd week,Maharashtra,Chandrapur,Malaria,3,1,4,6,2022,20.0967555,79.50454752,0.006238415,6.0,311.32,Malaria
159,23rd week,Maharashtra,Latur,Acute Diarrhoeal Disease,21,0,7,6,2022,18.35159075,76.75542361,0.027191652,2.0,312.025,Diarrheal Diseases
160,23rd week,Maharashtra,Satara,Chikungunya,5,1,3,6,2022,17.63612885,74.29827808,0.029201873,5.0,311.508,Chikungunya
161,23rd week,Odisha,Khordha,Acute Diarrhoeal Disease,7,1,10,6,2022,20.22564715,85.56059465,0.001571476,9.0,308.04,Diarrheal Diseases
162,23rd week,Rajasthan,Bhilwara,Acute Diarrhoeal Disease,160,1,8,6,2022,25.48877345,74.69961284,5.06e-05,3.0,316.9933334,Diarrheal Diseases
163,23rd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,26,0,3,6,2022,12.09680475,78.19304301,0.08874494,13.0,306.105,Diarrheal Diseases
164,23rd week,Tamil Nadu,Tiruchirappalli,Acute Diarrhoeal Disease,7,0,6,6,2022,10.7992254,78.6811423,0.05825984,9.0,308.19,Diarrheal Diseases
165,23rd week,Tamil Nadu,Tiruchirappalli,Cholera,17,0,6,6,2022,10.7992254,78.6811423,0.05825984,9.0,308.19,Diarrheal Diseases
166,23rd week,Tamil Nadu,Tiruchirappalli,Acute Diarrhoeal Disease,17,0,6,6,2022,10.7992254,78.6811423,0.05825984,9.0,308.19,Diarrheal Diseases
167,23rd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,10,1,31,5,2022,15.52481495,78.41517104,0.000364604,16.0,307.456,Diarrheal Diseases
168,23rd week,Karnataka,BBMP,Cholera,169,1,31,5,2022,13.058135,77.50646228,0.046760732,12.0,302.6833334,Diarrheal Diseases
169,23rd week,Kerala,Ernakulam,Dengue,69,0,24,4,2022,9.98408,76.2741457,0.338997773,26.0,302.5733334,Dengue
170,23rd week,Maharashtra,Jalgaon,Chikungunya,9,1,23,5,2022,20.84288265,75.52612464,0.000207556,3.0,315.88,Chikungunya
171,23rd week,Tamil Nadu,Tenkasi,Dengue,19,1,20,5,2022,9.0318958,77.36536125,0.486404379,7.0,314.98,Dengue
172,24th week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,8,1,15,6,2022,20.73218365,81.14335738,0.091054552,9.0,312.9,Diarrheal Diseases
173,24th week,Himachal Pradesh,Solan,Dengue,34,2,10,6,2022,30.92589585,77.08200509,7.63e-05,22.0,305.7866666,Dengue
